,Title,Year,Metacritic,Internet Movie Database,Rotten Tomatoes,IMDB Votes
445,Star Trek: Nemesis,2002,0.51,0.64,0.38,71555.0
446,Star Trek: The Motion Picture,1979,,,,
447,Star Trek II: The Wrath of Khan,1982,0.67,0.77,0.87,109327.0
448,Star Trek III: The Search for Spock,1984,0.56,0.67,0.8,72133.0
449,Star Trek IV: The Voyage Home,1986,0.71,0.73,0.85,75612.0
450,Star Trek V: The Final Frontier,1989,0.43,0.55,0.22,54038.0
451,Star Trek VI: The Undiscovered Country,1991,0.65,0.72,0.82,67744.0
452,Star Wars: Episode I – The Phantom Menace,1999,0.51,0.65,0.53,698744.0
453,Star Wars: Episode II – Attack of the Clones,2002,0.54,0.65,0.65,613768.0
454,Star Wars: Episode III – Revenge of the Sith,2005,0.68,0.75,0.8,681075.0
